2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0.321236 0.35 0.321837
0.35 0.321837 0.35 0.322437
0.35 0.322437 0.35 0.323037
0.35 0.323037 0.35 0.323638
0.35 0.323638 0.35 0.324238
0.35 0.324238 0.35 0.324839
0.35 0.324839 0.35 0.325439
0.35 0.325439 0.35 0.326039
0.35 0.326039 0.35 0.32664
0.35 0.32664 0.35 0.32724
0.35 0.32724 0.35 0.327841
0.35 0.327841 0.35 0.328441
0.35 0.328441 0.35 0.329041
0.35 0.329041 0.35 0.329642
0.35 0.329642 0.35 0.330242
0.35 0.330242 0.35 0.330842
0.35 0.330842 0.35 0.331443
0.35 0.331443 0.35 0.332043
0.35 0.332043 0.35 0.332644
0.35 0.332644 0.35 0.333244
0.35 0.333244 0.35 0.333844
0.35 0.333844 0.35 0.334445
0.35 0.334445 0.35 0.335045
0.35 0.335045 0.35 0.335645
0.35 0.335645 0.35 0.336246
0.35 0.336246 0.35 0.336846
0.35 0.336846 0.35 0.337446
0.35 0.337446 0.35 0.338047
0.35 0.338047 0.35 0.338647
0.35 0.338647 0.35 0.339248
0.35 0.339248 0.35 0.339848
0.35 0.339848 0.35 0.340448
0.35 0.340448 0.35 0.341048
0.35 0.341048 0.35 0.341649
0.35 0.341649 0.35 0.342249
0.35 0.342249 0.35 0.342849
0.35 0.342849 0.35 0.343449
0.35 0.343449 0.35 0.34405
0.35 0.34405 0.35 0.34465
0.35 0.34465 0.35 0.34525
0.35 0.34525 0.35 0.34585
0.35 0.34585 0.35 0.346451
0.35 0.346451 0.35 0.347051
0.35 0.347051 0.35 0.347651
0.35 0.347651 0.35 0.348251
0.35 0.348251 0.35 0.348852
0.35 0.348852 0.35 0.349452
0.35 0.349452 0.35 0.350052
0.35 0.350052 0.35 0.350652
0.35 0.350652 0.35 0.351253
0.35 0.351253 0.35 0.351853
0.35 0.351853 0.35 0.352453
0.35 0.352453 0.35 0.353053
0.35 0.353053 0.35 0.353654
0.35 0.353654 0.35 0.354254
0.35 0.354254 0.35 0.354854
0.35 0.354854 0.35 0.355454
0.35 0.355454 0.35 0.356055
0.35 0.356055 0.35 0.356655
0.35 0.356655 0.35 0.357255
0.35 0.357255 0.35 0.357855
0.35 0.357855 0.35 0.358456
0.35 0.358456 0.35 0.359056
0.35 0.359056 0.35 0.359656
0.35 0.359656 0.35 0.360256
0.35 0.360256 0.35 0.360857
0.35 0.360857 0.35 0.361457
0.35 0.361457 0.35 0.362057
0.35 0.362057 0.35 0.362657
0.35 0.362657 0.35 0.363257
0.35 0.363257 0.35 0.363857
0.35 0.363857 0.35 0.364457
0.35 0.364457 0.35 0.365058
0.35 0.365058 0.35 0.365658
0.35 0.365658 0.35 0.366258
0.35 0.366258 0.35 0.366858
